822,571,80,212,176,102,915,631,168,190
552,29,767,550,957,284,463,340,138,972
469,211,78,476,324,88,772,830,646,115
30,34,745,311,985,401,277,83,84,530
655,219,816,422,125,576,932,899,718,834
48,154,209,977,978,700,560,601,130,395
428,706,419,24,963,670,993,941,653,574
648,673,669,435,458,864,394,409,600,908
908,852,327,956,958,437,312,824,854,229
238,907,180,785,255,966,156,996,830,217
546,718,324,389,671,972,180,692,913,214
516,752,728,774,838,218,359,245,256,269
144,810,911,577,738,338,433,26,234,71
398,758,620,634,699,205,261,747,93,766
833,162,108,394,482,587,556,391,341,402
519,453,445,214,438,162,679,578,760,285
982,885,255,266,819,172,442,786,32,291
114,71,306,546,619,985,559,30,438,567
91,594,723,398,328,341,899,831,618,911
578,830,603,824,40,549,390,504,859,360
95,704,260,219,76,143,233,425,518,877
70,8,465,693,358,521,681,94,697,311
603,384,311,497,28,703,352,513,852,780
564,313,59,917,405,10,279,43,470,949
1000,551,248,42,191,468,696,829,181,910
650,997,459,118,185,854,986,241,355,373
293,352,777,491,874,989,623,862,635,456
59,694,142,146,955,720,600,469,282,255
948,66,195,118,334,695,372,884,90,326
809,111,907,131,519,601,940,802,364,462
138,212,621,466,43,36,838,518,832,520
986,860,18,551,853,478,11,177,150,766
794,134,140,245,169,353,132,255,728,143
618,979,975,885,409,512,734,918,157,562
708,279,485,27,128,630,213,509,396,195
457,243,715,178,997,579,289,327,730,826
142,833,184,245,207,642,757,184,632,825
253,840,224,834,910,530,763,60,950,817
415,168,155,681,24,483,424,882,501,829
294,646,591,58,832,265,630,564,736,232
834,991,835,610,782,469,366,494,873,233
585,437,702,601,367,813,799,825,827,947
30,369,805,95,298,723,450,46,165,390
920,779,636,422,938,282,514,655,727,562
773,660,559,866,772,826,482,146,883,599
782,962,380,928,120,77,372,334,383,873
811,560,95,688,251,826,566,860,175,714
446,937,588,935,675,506,611,879,851,303
436,765,335,432,817,865,135,763,14,689
690,737,112,728,548,450,71,32,298,705
605,207,148,412,903,106,137,325,12,867
181,235,886,903,558,852,824,391,599,251
428,15,77,363,773,28,527,612,204,834
315,761,61,771,413,978,182,892,540,596
942,775,629,366,48,560,580,56,357,71
571,986,278,504,700,960,991,374,700,330
723,626,576,523,17,420,808,318,835,787
591,738,206,841,307,21,212,36,252,603
945,360,125,214,526,254,896,620,102,355
513,711,584,798,17,930,952,79,166,164
334,63,458,21,389,183,321,261,388,899
291,964,291,78,617,284,738,1000,672,935
472,895,274,228,629,504,697,769,186,870
963,893,897,316,120,951,946,452,110,46
696,311,956,209,989,697,645,248,832,143
93,647,240,315,898,208,220,332,157,174
584,519,370,993,620,798,41,61,657,239
897,534,283,123,288,753,831,258,713,665
307,226,551,102,85,494,264,196,274,259
605,806,389,727,542,425,276,93,697,437
812,8,271,767,97,24,138,722,910,189
999,382,803,757,169,171,923,758,634,703
181,89,284,482,328,548,955,758,986,245
219,192,335,294,258,379,990,716,354,174
769,651,334,975,889,786,235,423,824,177
681,276,767,875,260,952,687,668,989,119
377,488,905,514,860,506,912,495,247,143
436,355,20,236,668,996,22,242,601,804
943,176,656,797,379,418,31,45,318,939
746,227,115,75,13,267,709,131,508,966
421,414,210,131,3,407,166,115,745,58
262,579,883,165,132,391,800,950,546,679
58,174,143,39,687,878,973,321,334,681
537,461,895,664,244,89,707,40,302,83
592,815,381,957,209,891,470,906,827,529
620,295,925,744,984,180,480,53,675,190
931,36,426,951,559,990,70,523,143,625
570,824,548,147,337,498,67,942,461,393
502,752,122,597,293,818,575,975,957,361
388,721,231,972,140,352,121,22,76,90
549,386,429,874,381,582,884,915,540,877
60,877,143,254,495,842,23,785,630,5
259,493,320,23,605,559,106,6,889,809
50,61,30,201,818,272,54,509,341,681
371,274,796,262,209,785,585,427,91,601
665,170,606,590,888,517,783,280,292,818
725,77,886,853,710,722,263,79,946,191
160,716,488,185,691,418,381,505,18,670
775,650,228,254,2,654,985,41,941,899
85,264,838,732,593,778,765,743,391,624
